state,district,block_id,block_name,panchayat_id,panchayat_name,n_days,rainfall_mean_mm,rainfall_min_mm,rainfall_max_mm,n_wet_days,n_cells,mapping_method,fallback_distance_m
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196104,MOLAKALPENTA,1,3.3933534622192383,3.3933534622192383,3.3933534622192383,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196105,N.TIMMAPURAM,1,2.633049249649048,2.633049249649048,2.633049249649048,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196108,NAKKANADODDI,1,2.656183518835621,2.656183518835621,2.656183518835621,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196109,NALLADASARAPALLI,1,2.02181077003479,2.02181077003479,2.02181077003479,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196111,OBULAPURAM,1,3.1887178873857325,3.1887178873857325,3.1887178873857325,1,4,area_weighted,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196112,PATHAKOTHA CHERUVU,1,1.9871469736099243,1.9871469736099243,1.9871469736099243,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4707,GUNTAKAL,196114,Y.T.CHERUVU,1,2.5398976802825928,2.5398976802825928,2.5398976802825928,1,1,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196141,BHATTUVANIPALLI,1,0.006484582713928544,0.006484582713928544,0.006484582713928544,0,4,area_weighted,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196142,BORAMPALLI,1,0.015240201726555824,0.015240201726555824,0.015240201726555824,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196143,BYADRAHALLI,1,0.41599833965301514,0.41599833965301514,0.41599833965301514,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196144,CHAPIRI,1,0.02557646855711937,0.02557646855711937,0.02557646855711937,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196145,DURADAKUNTA,1,0.19077570360361337,0.19077570360361337,0.19077570360361337,0,2,area_weighted,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196146,EAST KODIPALLI,1,0.007488002302125096,0.007488002302125096,0.007488002302125096,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196147,GARUDAPURAM,1,0.15463181980885565,0.15463181980885565,0.15463181980885565,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196148,GOLLA,1,0.010072068544104695,0.010072068544104695,0.010072068544104695,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196149,HULIKAL,1,0.035912737250328064,0.035912737250328064,0.035912737250328064,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196150,KONDAPURAM,1,0.004903935361653566,0.004903935361653566,0.004903935361653566,0,2,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196153,MUDDINAYANAPALLI,1,0.004903935361653566,0.004903935361653566,0.004903935361653566,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196154,NARAYANAPURAM,1,0.004903935361653566,0.004903935361653566,0.004903935361653566,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4710,KALYANDRUG,196156,THIMMASAMUDRAM,1,0.004903935361653566,0.004903935361653566,0.004903935361653566,0,1,direct_grid,
ANDHRA PRADESH,Anantapur,4711,KAMBADUR,196157,CHENNAMPALLI,1,0.652202308177948,0.652202308177948,0.652202308177948,0,1,direct_grid,
